,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27,38.92011260986328,1572.6199951171875,,58.816001892089844,40.58000183105469,1572.6199951171875,,58.816001892089844,41.08250045776367,1638.0999755859375,,58.89400100708008,40.157501220703125,1567.3900146484375,,56.76599884033203,41.0,1634.010009765625,,57.07400131225586,142623200,13053200,,21823000
2018-04-30,39.62505340576172,1566.1300048828125,,58.779998779296875,41.314998626708984,1566.1300048828125,,58.779998779296875,41.814998626708984,1596.0,,59.74599838256836,40.459999084472656,1560.93994140625,,58.5,40.532501220703125,1582.5,,58.72200012207031,169709600,5464100,,21141000
2018-05-01,40.545780181884766,1582.260009765625,,59.98400115966797,42.275001525878906,1582.260009765625,,59.98400115966797,42.29999923706055,1585.0,,60.16400146484375,41.317501068115234,1552.1800537109375,,58.64400100708008,41.602500915527344,1563.219970703125,,58.70199966430664,214277600,4572100,,23128000
2018-05-02,42.3369026184082,1569.6800537109375,,60.22999954223633,44.14250183105469,1569.6800537109375,,60.22999954223633,44.4375,1588.5,,61.369998931884766,43.45000076293945,1566.3599853515625,,59.555999755859375,43.807498931884766,1580.97998046875,,59.7140007019043,266157600,4360300,,44852000
2018-05-03,42.41362380981445,1572.0799560546875,,56.88999938964844,44.22249984741211,1572.0799560546875,,56.88999938964844,44.375,1574.800048828125,,57.608001708984375,43.61000061035156,1546.02001953125,,55.04600143432617,43.970001220703125,1560.010009765625,,55.757999420166016,136272800,4251900,,86760500
2018-05-04,44.077659606933594,1580.949951171875,,58.81800079345703,45.95750045776367,1580.949951171875,,58.81800079345703,46.0625,1584.9000244140625,,59.37200164794922,44.54249954223633,1562.18994140625,,55.90399932861328,44.5625,1562.449951171875,,56.599998474121094,224805200,3443600,,42847000
2018-05-07,44.396549224853516,1600.1400146484375,,60.55400085449219,46.290000915527344,1600.1400146484375,,60.55400085449219,46.91749954223633,1606.949951171875,,61.19200134277344,46.1875,1587.8299560546875,,59.034000396728516,46.29499816894531,1589.3399658203125,,59.5,169805600,3801900,,43391000
2018-05-08,44.60995101928711,1592.3900146484375,,60.39400100708008,46.51250076293945,1592.3900146484375,,60.39400100708008,46.55500030517578,1596.8800048828125,,61.54999923706055,45.91749954223633,1582.510009765625,,59.79999923706055,46.247501373291016,1595.0,,60.15999984741211,113611200,3067900,,29650000
2018-05-09,44.92406463623047,1608.0,,61.369998931884766,46.84000015258789,1608.0,,61.369998931884766,46.849998474121094,1608.0,,61.402000427246094,46.30500030517578,1592.0,,60.0099983215332,46.63750076293945,1600.0,,60.082000732421875,92844800,3637300,,28637000
2018-05-10,45.566646575927734,1609.0799560546875,,61.00400161743164,47.5099983215332,1609.0799560546875,,61.00400161743164,47.592498779296875,1615.5999755859375,,62.597999572753906,46.912498474121094,1603.43994140625,,60.821998596191406,46.935001373291016,1608.47998046875,,61.5,111957200,2817500,,28258000
2018-05-11,45.39334487915039,1602.9100341796875,,60.21200180053711,47.147499084472656,1602.9100341796875,,60.21200180053711,47.51499938964844,1611.0999755859375,,61.7760009765625,46.86249923706055,1597.8900146484375,,59.816001892089844,47.372501373291016,1610.989990234375,,61.540000915527344,104848800,2263900,,23398000
2018-05-14,45.28744125366211,1601.5400390625,,58.39400100708008,47.037498474121094,1601.5400390625,,58.39400100708008,47.38249969482422,1611.1800537109375,,60.987998962402344,46.96500015258789,1600.050048828125,,58.32400131225586,47.252498626708984,1604.0,,60.66400146484375,83115200,2509500,,36434000
2018-05-15,44.875850677490234,1576.1199951171875,,56.83599853515625,46.61000061035156,1576.1199951171875,,56.83599853515625,46.76750183105469,1587.800048828125,,57.391998291015625,46.275001525878906,1565.219970703125,,56.099998474121094,46.69499969482422,1587.800048828125,,57.00199890136719,94780800,5077500,,47596000
2018-05-16,45.29465866088867,1587.280029296875,,57.29600143432617,47.04499816894531,1587.280029296875,,57.29600143432617,47.1150016784668,1594.4300537109375,,57.762001037597656,46.5,1576.6700439453125,,56.3120002746582,46.51750183105469,1577.5,,56.76599884033203,76732400,2570600,,28370000
2018-05-17,45.00823211669922,1581.760009765625,,56.90800094604492,46.747501373291016,1581.760009765625,,56.90800094604492,47.227500915527344,1594.0400390625,,57.8380012512207,46.59000015258789,1573.0,,56.79399871826172,47.0,1580.56005859375,,57.18000030517578,69176000,2147600,,22103000
2018-05-18,44.844547271728516,1574.3699951171875,,55.36399841308594,46.57749938964844,1574.3699951171875,,55.36399841308594,46.95249938964844,1583.5899658203125,,56.93000030517578,46.532501220703125,1572.0999755859375,,54.79999923706055,46.79750061035156,1581.3299560546875,,56.93000030517578,73190800,2642600,,36259500
2018-05-21,45.16227340698242,1585.4599609375,,56.89799880981445,46.907501220703125,1585.4599609375,,56.89799880981445,47.317501068115234,1592.050048828125,,58.29800033569336,46.727500915527344,1575.0,,56.2599983215332,47.0,1585.0,,56.26599884033203,73603200,2925200,,45913000
